,code,title,points_r1_2021,points_r1_2020,points_r1_2019
373,DC231,International Relations,398,422,380
374,DC232,Law and Society (BCL),469,498,270
375,DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),302,500,477
376,DC238,Social Sciences and Cultural Innovation,387,435,462
377,DC240,"Marketing, Innovation and Technology",499,522,460
378,DC241,Digital Business and Innovation,509,531,386
379,DC291,Arts (Joint Honours) - Media Studies,350,499,300
380,DC292,Arts (Joint Honours) - Law,400,532,420
381,DC293,Arts (Joint Honours) - International Languages,379,465,331
382,DC294,Climate and Environmental Sustainability,475,454,322
383,DC295,Arts (Joint Honours) - Politics,349,418,356
384,DL701,Business - Applied Entrepreneurship,162,370,463
385,DL822,Arts Management,254,500,219
386,DL823,Business Management,220,435,270
387,DL825,Applied Psychology,418,397,230
388,DL826,Graphic Design,591,466,412
389,DL827,Art,574,309,307
390,DL832,Animation,989,377,307
391,DL833,Photography and Visual Media,671,430,211
392,DL836,Creative Computing,235,476,251
393,DL837,New Media Studies,298,376,300
394,DL838,Creative Music Production,713,403,484
395,DL839,Interaction and User Experience Design,757,377,311
396,DL840,Digital Marketing,210,376,252
397,DL841,English and Equality Studies,277,120,261
398,DL843,Film,987,191,336
399,DL844,Television,566,100,244
400,DL845,Design for Film (degree options),628,106,309
401,GC200,Business,269,144,308
402,GC201,Accounting and Finance,260,165,326
403,GC230,Computing Science,300,332,275
404,GC250,Communications and Media Production,,120,#536
405,GC300,Business,264,179,#448
406,GC301,Accounting and Finance,,166,#364
407,GC302,Business - HRM,377,190,357
408,GC307,Business (Marketing),289,176,298
409,GC335,Computing,171,175,#700
410,GC400,Business,250,182,#549
411,GC401,Accounting and Finance,242,233,#544
412,GC402,Business (HRM),,240,#700
413,GC403,Law,245,261,299
414,GC407,Business (Marketing),264,165,280
415,GC410,Marketing,122,190,369
416,GC411,Business,180,,462
417,GC430,Computing Science,251,358,414
418,GC435,Computing,108,349,367
419,GC450,Communications and Media Production,225,399,270
420,GC460,Music Production for Games (portfolio),,305,326
421,GC462,Design Communication (portfolio),300,300,251
422,GC465,Communications,118,311,378
423,GC466,Film and TV Production,121,302,407
424,GC470,Photographic Media,163,307,320
425,GC475,Photography,125,336,508
426,GC489,Interior Architecture (portfolio),288,389,552
427,GC490,Interior Design,137,387,590*
428,GC494,Fashion Design (portfolio),351,340,510
429,GC495,Fashion,110,305,601*
430,BY001,Business,210,304,564*
431,BY002,Business,347,391,#496
432,ID001,Accounting and Finance,,317,613*
433,ID002,Business Studies,,532,389
434,AD101,"First Year Art and Design (Common Entry,portfolio)",554,302,602*
435,AD102,Graphic Design and Moving Image Design (portfolio),538,301,577
436,AD103,Textile and Surface Design and Jewellery and Objects (portfolio),505,308,467
437,AD202,"Education and Design or Fine Art (Second Level Teaching,portfolio))",591,300,377
438,AD204,Fine Art (portfolio),514,301,546
439,AD211,Fashion Design (portfolio),760,403,566
440,AD212,Product Design (portfolio),413,336,#543
441,AD215,Visual Culture,337,356,498
442,AD217,Illustration (portfolio),738,321,579
443,AD222,Interaction Design (portfolio),444,440,556
444,NC003,Computing (Degree Award options),271,328,566*
445,NC005,Human Resource Management,301,310,625*
446,NC009,Business,300,358,590
447,NC010,Psychology,420,,589*
448,NC020,Marketing Practice,270,,443
449,NC022,Accounting and Finance,330,301,520
450,NC023,Technology Management (with specialisations),266,330,417
451,NC030,Early Childhood Education and Care,251,AQA,531
452,NC102,Computing,225,212,498
453,NC103,Business,252,229,#743*
